lat,lon,color
25.141,-80.926,green
25.19935,-80.87379,red
25.39544,-80.59502,green
25.4817,-80.5158,green
25.51665,-80.43689,orange
25.54494,-80.47805,green
25.73951,-80.48021,orange
25.76119,-80.58182,blue
25.782,-81.07385,blue
25.84875,-81.3142,green
25.86895,-81.1498,red
25.889,-81.3215,green
25.8972,-81.3065,red
25.901,-81.303,orange
25.91695,-81.29691,red
25.927,-81.33,red
25.953,-81.356,green
25.95574,-81.48598,red
26.0079,-81.22285,blue
26.01535,-81.0651,green
26.03808,-81.64948,green
26.05091,-80.29457,red
26.0645,-81.3615,orange
26.06885,-80.8368,blue
26.08285,-80.21025,red
26.09729,-81.71505,red
26.15915,-81.76041,blue
26.1699,-80.98849,orange
26.18326,-81.24751,green
26.1875,-81.69245,red
26.27395,-80.1937,blue
26.283,-81.2521,red
26.28516,-80.27977,red
26.28585,-80.17845,orange
26.529,-81.6455,red
26.5931,-80.21295,red
26.59885,-81.8708,red
26.61979,-80.60976,blue
26.6685,-81.8768,green
26.67822,-81.81697,orange
26.6878,-81.6143,green
26.7621,-81.8539,red
26.80829,-80.16933,red
26.83656,-80.18501,red
26.85451,-81.71583,green
26.91319,-80.48412,orange
26.91675,-81.96517,blue
26.9745,-82.1475,blue
26.9807,-80.31353,orange
27.00061,-82.39019,green
27.0047,-82.0332,red
27.0099,-80.13215,red
27.01091,-80.10344,red
27.07842,-81.99105,orange
27.099,-82.454,red
27.10589,-82.30699,blue
27.1788,-82.20475,red
27.19995,-81.98468,orange
27.28518,-82.46557,red
27.34928,-81.03941,red
27.35273,-82.22301,red
27.35644,-80.96515,red
27.37341,-81.35876,blue
27.3973,-80.8044,blue
27.40743,-82.12901,red
27.445,-82.391,orange
27.45883,-80.79379,blue
27.66726,-82.43094,green
27.7068,-82.45165,red
27.7752,-81.9755,blue
27.78042,-80.55011,blue
27.84434,-81.30249,blue
27.8565,-81.8995,green
27.89469,-81.9742,orange
27.9013,-81.58581,blue
27.928,-82.124,green
